PDB_ID,Quelle
2ny7,nur canonical_forms_all_antibodies_cleaned.csv
4hkx,nur canonical_forms_all_antibodies_cleaned.csv
4ut9,nur canonical_forms_all_antibodies_cleaned.csv
5g64,nur canonical_forms_all_antibodies_cleaned.csv
5hi4,nur canonical_forms_all_antibodies_cleaned.csv
5ucb,nur canonical_forms_all_antibodies_cleaned.csv
5w1k,nur ab_ag_canonical_forms.csv
5xxy,nur canonical_forms_all_antibodies_cleaned.csv
6az2,nur canonical_forms_all_antibodies_cleaned.csv
6b3s,nur canonical_forms_all_antibodies_cleaned.csv
6iw0,nur canonical_forms_all_antibodies_cleaned.csv
6lxk,nur canonical_forms_all_antibodies_cleaned.csv
6nm6,nur canonical_forms_all_antibodies_cleaned.csv
6uym,nur canonical_forms_all_antibodies_cleaned.csv
7b0b,nur canonical_forms_all_antibodies_cleaned.csv
7cwt,nur canonical_forms_all_antibodies_cleaned.csv
7cyh,nur canonical_forms_all_antibodies_cleaned.csv
7e8m,nur canonical_forms_all_antibodies_cleaned.csv
7ey5,nur ab_ag_canonical_forms.csv
7jn5,nur canonical_forms_all_antibodies_cleaned.csv
7l7d,nur canonical_forms_all_antibodies_cleaned.csv
7luc,nur ab_ag_canonical_forms.csv
7ly2,nur canonical_forms_all_antibodies_cleaned.csv
7m42,nur ab_ag_canonical_forms.csv
7n8h,nur canonical_forms_all_antibodies_cleaned.csv
7ps2,nur ab_ag_canonical_forms.csv
7s6k,nur canonical_forms_all_antibodies_cleaned.csv
7sob,nur canonical_forms_all_antibodies_cleaned.csv
7su1,nur canonical_forms_all_antibodies_cleaned.csv
7t9t,nur canonical_forms_all_antibodies_cleaned.csv
7v3h,nur canonical_forms_all_antibodies_cleaned.csv
7we7,nur canonical_forms_all_antibodies_cleaned.csv
7xcp,nur canonical_forms_all_antibodies_cleaned.csv
7xda,nur canonical_forms_all_antibodies_cleaned.csv
7xdb,nur canonical_forms_all_antibodies_cleaned.csv
7xj8,nur canonical_forms_all_antibodies_cleaned.csv
7xnf,nur canonical_forms_all_antibodies_cleaned.csv
7y0w,nur ab_ag_canonical_forms.csv
7yd1,nur canonical_forms_all_antibodies_cleaned.csv
7yqx,nur canonical_forms_all_antibodies_cleaned.csv
8c2r,nur canonical_forms_all_antibodies_cleaned.csv
8cbf,nur canonical_forms_all_antibodies_cleaned.csv
8dw2,nur canonical_forms_all_antibodies_cleaned.csv
8dy5,nur canonical_forms_all_antibodies_cleaned.csv
8hc7,nur canonical_forms_all_antibodies_cleaned.csv
8hp9,nur ab_ag_canonical_forms.csv
8hrd,nur ab_ag_canonical_forms.csv
8r9z,nur canonical_forms_all_antibodies_cleaned.csv
8s6m,nur ab_ag_canonical_forms.csv
8siq,nur ab_ag_canonical_forms.csv
8szy,nur ab_ag_canonical_forms.csv
8v4f,nur canonical_forms_all_antibodies_cleaned.csv
8v5l,nur ab_ag_canonical_forms.csv
8vul,nur canonical_forms_all_antibodies_cleaned.csv
8vuv,nur canonical_forms_all_antibodies_cleaned.csv
8vuy,nur canonical_forms_all_antibodies_cleaned.csv
8vym,nur ab_ag_canonical_forms.csv
8zhg,nur canonical_forms_all_antibodies_cleaned.csv
