PDB_ID,cluster
7m7b,SEQ_L2_7_1
7ttx,SEQ_L2_7_1
7jx3,SEQ_L2_7_1
6ii8,SEQ_L2_7_1
7jva,SEQ_L2_7_1
7wog,SEQ_L2_7_1
7wo4,SEQ_L2_7_1
7ycn,SEQ_L2_7_1
7yck,SEQ_L2_7_1
7u0x,SEQ_L2_7_1
7xsb,SEQ_L2_7_1
7vzt,SEQ_L2_7_1
8eoo,SEQ_L2_7_1
8zho,SEQ_L2_7_1
8vuj,SEQ_L2_7_1
8zhe,SEQ_L2_7_1
7u9e,SEQ_L2_7_1
6mi2,SEQ_L2_7_1
8dlr,SEQ_L2_7_1
7ukl,SEQ_L2_7_1
8zby,SEQ_L2_7_1
8vye,SEQ_L2_7_1
3wsq,SEQ_L2_7_1
7uvh,SEQ_L2_7_1
7mzk,SEQ_L2_7_1
7kn4,SEQ_L2_7_1
8xi6,SEQ_L2_7_1
8e2u,SEQ_L2_7_1
8eay,SEQ_L2_7_1
8ezk,SEQ_L2_7_1
7x95,SEQ_L2_7_1
7e5y,SEQ_L2_7_1
8dwy,SEQ_L2_7_1
5k9o,SEQ_L2_7_1
6woz,SEQ_L2_7_1
7y0v,SEQ_L2_7_1
6urm,SEQ_L2_7_1
7bpk,SEQ_L2_7_1
6iut,SEQ_L2_7_1
7r8n,SEQ_L2_7_1
7mw3,SEQ_L2_7_1
6ii9,SEQ_L2_7_1
7swp,SEQ_L2_7_1
7wi0,SEQ_L2_7_1
7dx4,SEQ_L2_7_1
7m6f,SEQ_L2_7_1
7m6h,SEQ_L2_7_1
7cho,SEQ_L2_7_1
3whe,SEQ_L2_7_1
7wp0,SEQ_L2_7_1
7wqv,SEQ_L2_7_1
8hrd,SEQ_L2_7_1
8siq,SEQ_L2_7_1
8y4c,SEQ_L2_7_1
8zho,SEQ_L2_7_1
5y9j,SEQ_L2_7_1
8khc,SEQ_L2_7_1
8dg8,SEQ_L2_7_1
4ot1,SEQ_L2_7_1
7kdd,SEQ_L2_7_1
6pdx,SEQ_L2_7_1
7v2a,SEQ_L2_7_1
6pze,SEQ_L2_7_1
7cm4,SEQ_L2_7_1
7sj0,SEQ_L2_7_1
7cws,SEQ_L2_7_1
7wrj,SEQ_L2_7_1
8csj,SEQ_L2_7_1
5anm,SEQ_L2_7_1
7laa,SEQ_L2_7_1
7tjq,SEQ_L2_7_1
7yh6,SEQ_L2_7_1
8dg9,SEQ_L2_7_1
7sts,SEQ_L2_7_1
7m6e,SEQ_L2_7_1
8y3h,SEQ_L2_7_1
8gto,SEQ_L2_7_1
7e3o,SEQ_L2_7_1
7ps4,SEQ_L2_7_1
7tat,SEQ_L2_7_1
8jmm,SEQ_L2_7_1
6pzy,SEQ_L2_7_1
4yjz,SEQ_L2_7_1
6ii4,SEQ_L2_7_1
8dy1,SEQ_L2_7_1
2vxs,SEQ_L2_7_1
8bsf,SEQ_L2_7_1
8yro,SEQ_L2_7_1
9bj2,SEQ_L2_7_1
8vym,SEQ_L2_7_1
2dd8,SEQ_L2_7_1
7m3i,SEQ_L2_7_1
7qny,SEQ_L2_7_1
7vyr,SEQ_L2_7_1
7q9j,SEQ_L2_7_1
7lxw,SEQ_L2_7_1
4m5z,SEQ_L2_7_1
7wjy,SEQ_L2_7_1
7s5p,SEQ_L2_7_1
7ytn,SEQ_L2_7_1
9azr,SEQ_L2_7_1
8sit,SEQ_L2_7_1
7phu,SEQ_L2_7_1
7ey0,SEQ_L2_7_1
5ugy,SEQ_L2_7_1
6wn1,SEQ_L2_7_1
5xwd,SEQ_L2_7_1
7f3q,SEQ_L2_7_1
8rh0,SEQ_L2_7_1
8f0h,SEQ_L2_7_1
7xmz,SEQ_L2_7_1
8s6m,SEQ_L2_7_1
9au2,SEQ_L2_7_1
8gpy,SEQ_L2_7_1
7s0x,SEQ_L2_7_1
6wtv,SEQ_L2_7_1
6wtu,SEQ_L2_7_1
7kde,SEQ_L2_7_1
7rxi,SEQ_L2_7_1
4qhu,SEQ_L2_7_1
7ly9,SEQ_L2_7_1
7e7y,SEQ_L2_7_1
7jmp,SEQ_L2_7_1
6wty,SEQ_L2_7_1
8qq0,SEQ_L2_7_1
8cin,SEQ_L2_7_1
8qpr,SEQ_L2_7_1
7ul0,SEQ_L2_7_1
5n0a,SEQ_L2_7_1
7ui1,SEQ_L2_7_1
7e7x,SEQ_L2_7_1
7xsa,SEQ_L2_7_1
7uvo,SEQ_L2_7_1
6b0s,SEQ_L2_7_1
7rxl,SEQ_L2_7_1
4xnm,SEQ_L2_7_1
8hld,SEQ_L2_7_1
8r1d,SEQ_L2_7_1
6xey,SEQ_L2_7_1
7z0x,SEQ_L2_7_1
7l2c,SEQ_L2_7_1
7lcn,SEQ_L2_7_1
7nd7,SEQ_L2_7_1
6um7,SEQ_L2_7_1
6xcn,SEQ_L2_7_1
8dcc,SEQ_L2_7_1
7wos,SEQ_L2_7_1
7x8w,SEQ_L2_7_1
7x08,SEQ_L2_7_1
8saz,SEQ_L2_7_1
8sax,SEQ_L2_7_1
7yvk,SEQ_L2_7_1
8bg3,SEQ_L2_7_1
8vpf,SEQ_L2_7_1
8suo,SEQ_L2_7_1
7wr9,SEQ_L2_7_1
6dfh,SEQ_L2_7_1
