PDB_ID	CDR	Cluster_Label
7n3c	SEQ_H1	1
5ibl	SEQ_H1	1
5k9o	SEQ_H1	1
3wsq	SEQ_H1	1
7xdl	SEQ_H1	1
4al8	SEQ_H1	1
5n7w	SEQ_H1	1
7bnv	SEQ_H1	1
3wlw	SEQ_H1	1
6mi2	SEQ_H1	1
7k8v	SEQ_H1	1
7m6e	SEQ_H1	1
6phf	SEQ_H1	1
7ul0	SEQ_H1	1
7z2m	SEQ_H1	1
5a3i	SEQ_H1	1
8zby	SEQ_H1	1
7n4i	SEQ_H1	1
4j6r	SEQ_H1	1
7te1	SEQ_H1	1
5tz2	SEQ_H1	1
8say	SEQ_H1	1
7uvq	SEQ_H1	1
7ycl	SEQ_H1	1
7ps4	SEQ_H1	1
8z6s	SEQ_H1	1
8z6u	SEQ_H1	1
8hld	SEQ_H1	1
7fjo	SEQ_H1	1
8wyj	SEQ_H1	1
8u1c	SEQ_H1	1
8w0w	SEQ_H1	1
6b0e	SEQ_H1	1
6pzz	SEQ_H1	1
7fcp	SEQ_H1	1
7k8x	SEQ_H1	1
7lop	SEQ_H1	1
6xey	SEQ_H1	1
7rdw	SEQ_H1	1
7l5b	SEQ_H1	1
7mzh	SEQ_H1	1
7l56	SEQ_H1	1
7nd7	SEQ_H1	1
8dlw	SEQ_H1	1
8sax	SEQ_H1	1
8el2	SEQ_H1	1
9azr	SEQ_H1	1
8qpr	SEQ_H1	1
8gf2	SEQ_H1	1
7m42	SEQ_H1	1
8cwj	SEQ_H1	1
7kzb	SEQ_H1	1
7st5	SEQ_H1	1
5t3z	SEQ_H1	1
8tzy	SEQ_H1	1
7mw6	SEQ_H1	1
8yx9	SEQ_H1	1
8szy	SEQ_H1	1
7phu	SEQ_H1	1
7lab	SEQ_H1	1
5tzt	SEQ_H1	1
5ugy	SEQ_H1	1
7lf2	SEQ_H1	1
6um7	SEQ_H1	1
7wb5	SEQ_H1	1
8sb4	SEQ_H1	1
8sb3	SEQ_H1	1
8sb1	SEQ_H1	1
8sb0	SEQ_H1	1
8saz	SEQ_H1	1
8qkr	SEQ_H1	1
9dq5	SEQ_H1	1
8vym	SEQ_H1	1
8dw9	SEQ_H1	1
8sb5	SEQ_H1	1
8sb2	SEQ_H1	1
8sas	SEQ_H1	1
8pwh	SEQ_H1	1
8sar	SEQ_H1	1
7eh5	SEQ_H1	1
7u9o	SEQ_H1	1
8qq0	SEQ_H1	1
5ggt	SEQ_H1	1
7byr	SEQ_H1	1
7ps6	SEQ_H1	1
6xkr	SEQ_H1	1
7phu	SEQ_H1	1
7vyt	SEQ_H1	1
6b0g	SEQ_H1	1
7rw2	SEQ_H1	1
7k9z	SEQ_H1	1
7czy	SEQ_H1	1
7m6g	SEQ_H1	1
7m6h	SEQ_H1	1
7k8w	SEQ_H1	1
7mzk	SEQ_H1	1
7mw3	SEQ_H1	1
4ypg	SEQ_H1	1
7wn8	SEQ_H1	1
7ubs	SEQ_H1	1
7s5q	SEQ_H1	1
8y3i	SEQ_H1	1
8csj	SEQ_H1	1
3whe	SEQ_H1	1
6mlm	SEQ_H1	1
5te6	SEQ_H1	1
7chh	SEQ_H1	1
7e8c	SEQ_H1	1
5w08	SEQ_H1	1
5o4g	SEQ_H1	1
8gpx	SEQ_H1	1
4ydi	SEQ_H1	1
7f15	SEQ_H1	1
6fax	SEQ_H1	1
4z5r	SEQ_H1	1
7eh5	SEQ_H1	1
8dwy	SEQ_H1	1
7ua8	SEQ_H1	1
8t9z	SEQ_H1	1
7tl0	SEQ_H1	1
7fjc	SEQ_H1	1
5f9w	SEQ_H1	1
5iwl	SEQ_H1	1
5ggs	SEQ_H1	1
7lex	SEQ_H1	1
7yrn	SEQ_H1	1
7t4r	SEQ_H1	1
7wkx	SEQ_H1	1
7xjf	SEQ_H1	1
8g30	SEQ_H1	1
7e7x	SEQ_H1	1
7l2c	SEQ_H1	1
7l2d	SEQ_H1	1
7sj0	SEQ_H1	1
8swh	SEQ_H1	1
8dm3	SEQ_H1	1
7cws	SEQ_H1	1
7lcn	SEQ_H1	1
5udc	SEQ_H1	1
7rxp	SEQ_H1	1
7mzl	SEQ_H1	1
7kdd	SEQ_H1	1
4ot1	SEQ_H1	1
7ezv	SEQ_H1	1
7ui1	SEQ_H1	1
7wrj	SEQ_H1	1
8us0	SEQ_H1	1
4jhw	SEQ_H1	1
9fgs	SEQ_H1	1
6u0n	SEQ_H1	1
7neg	SEQ_H1	1
7ps1	SEQ_H1	1
8y4a	SEQ_H1	1
7or9	SEQ_H1	1
6ofi	SEQ_H1	1
6bgt	SEQ_H1	1
8pwh	SEQ_H1	1
7woa	SEQ_H1	1
8i3u	SEQ_H1	1
4zff	SEQ_H1	1
6kz0	SEQ_H1	1
2fjg	SEQ_H1	1
5anm	SEQ_H1	1
7ll1	SEQ_H1	1
8w0v	SEQ_H1	1
2fjh	SEQ_H1	1
7s5q	SEQ_H1	1
5ggr	SEQ_H1	1
6c6z	SEQ_H1	1
7ru8	SEQ_H1	1
7v5k	SEQ_H1	1
4fqj	SEQ_H1	1
7uvq	SEQ_H1	1
8f6e	SEQ_H1	1
6oe4	SEQ_H1	1
7q9j	SEQ_H1	1
8ez8	SEQ_H1	1
8bbo	SEQ_H1	1
8w0y	SEQ_H1	1
8qzr	SEQ_H1	1
8cin	SEQ_H1	1
7yvi	SEQ_H1	1
8cwj	SEQ_H1	1
8hrd	SEQ_H1	1
7lue	SEQ_H1	1
8vui	SEQ_H1	1
5vn8	SEQ_H1	1
7kde	SEQ_H1	1
7y6l	SEQ_H1	1
7luc	SEQ_H1	1
7ugq	SEQ_H1	1
6bft	SEQ_H1	1
5f9o	SEQ_H1	1
8v5l	SEQ_H1	1
9avo	SEQ_H1	1
5uek	SEQ_H1	1
7upl	SEQ_H1	1
6cdi	SEQ_H1	1
8bsf	SEQ_H1	1
6mfp	SEQ_H1	1
8g3m	SEQ_H1	1
9dwe	SEQ_H1	1
8g3q	SEQ_H1	1
6iuv	SEQ_H1	1
8oz3	SEQ_H1	1
6uyg	SEQ_H1	1
7r8n	SEQ_H1	1
5y9j	SEQ_H1	1
7coe	SEQ_H1	1
7zrc	SEQ_H1	1
8y3h	SEQ_H1	1
8thz	SEQ_H1	1
4mwf	SEQ_H1	1
9azt	SEQ_H1	1
8sxj	SEQ_H1	1
6meh	SEQ_H1	1
7tjq	SEQ_H1	1
8vpf	SEQ_H1	1
9bj3	SEQ_H1	1
8dnn	SEQ_H1	1
6wty	SEQ_H1	1
9bdf	SEQ_H1	1
7ljr	SEQ_H1	1
8tgv	SEQ_H1	1
6iw2	SEQ_H1	1
8tma	SEQ_H1	1
7kmg	SEQ_H1	1
2qad	SEQ_H1	1
7wtf	SEQ_H1	1
7uvs	SEQ_H1	1
7wh8	SEQ_H1	1
7ytn	SEQ_H1	1
7vyr	SEQ_H1	1
8dwa	SEQ_H1	1
7kml	SEQ_H1	1
7klg	SEQ_H1	1
6aru	SEQ_H1	1
7zfd	SEQ_H1	1
6q20	SEQ_H1	1
7ey0	SEQ_H1	1
7qny	SEQ_H1	1
7xic	SEQ_H1	1
7kqg	SEQ_H1	1
6q1z	SEQ_H1	1
7kqh	SEQ_H1	1
7ley	SEQ_H1	1
7ws1	SEQ_H1	1
7wjy	SEQ_H1	1
7e9o	SEQ_H1	1
8f0h	SEQ_H1	1
8bg1	SEQ_H1	1
7y3n	SEQ_H1	1
8wfh	SEQ_H1	1
8qrf	SEQ_H1	1
8yww	SEQ_H1	1
8ywx	SEQ_H1	1
8dxs	SEQ_H1	1
8z4e	SEQ_H1	1
8suo	SEQ_H1	1
8jmm	SEQ_H1	1
7qtj	SEQ_H1	1
7ur4	SEQ_H1	1
4jb9	SEQ_H1	1
8bbn	SEQ_H1	1
7xmz	SEQ_H1	1
8cwk	SEQ_H1	1
7uvo	SEQ_H1	1
8dyw	SEQ_H1	1
8suo	SEQ_H1	1
8ekd	SEQ_H1	1
6wo5	SEQ_H1	1
7fcp	SEQ_H1	1
4uv7	SEQ_H1	1
7mzm	SEQ_H1	1
4dvr	SEQ_H1	1
7bep	SEQ_H1	1
6xkp	SEQ_H1	1
7cdj	SEQ_H1	1
6pe8	SEQ_H1	1
6pe9	SEQ_H1	1
7wn2	SEQ_H1	1
8jel	SEQ_H1	1
8hlc	SEQ_H1	1
8gav	SEQ_H1	1
7x8w	SEQ_H1	1
7yxu	SEQ_H1	1
5tzu	SEQ_H1	1
5xhv	SEQ_H1	1
6o2b	SEQ_H1	1
8jmm	SEQ_H1	1
8sau	SEQ_H1	1
6mg7	SEQ_H1	1
7mzk	SEQ_H1	1
8siq	SEQ_H1	1
8cbe	SEQ_H1	1
6xq0	SEQ_H1	1
7swp	SEQ_H1	1
7u0x	SEQ_H1	1
8xsf	SEQ_H1	1
5xj4	SEQ_H1	1
7t4r	SEQ_H1	1
8sit	SEQ_H1	1
7u9e	SEQ_H1	1
6wtv	SEQ_H1	1
6wtu	SEQ_H1	1
7mzj	SEQ_H1	1
7uvh	SEQ_H1	1
9l1s	SEQ_H1	1
8hn7	SEQ_H1	1
4y5y	SEQ_H1	1
9dq3	SEQ_H1	1
8tqk	SEQ_H1	1
7deo	SEQ_H1	1
8hes	SEQ_H1	1
8hgl	SEQ_H1	1
7x90	SEQ_H1	1
7su0	SEQ_H1	1
7t7b	SEQ_H1	1
7k8s	SEQ_H1	1
7tat	SEQ_H1	1
7ls9	SEQ_H1	1
7kzb	SEQ_H1	1
8wyj	SEQ_H1	1
7y0w	SEQ_H1	1
4yjz	SEQ_H1	1
7rxi	SEQ_H1	1
7yh6	SEQ_H1	1
3u2s	SEQ_H1	1
7f3q	SEQ_H1	1
6xpx	SEQ_H1	1
8khc	SEQ_H1	1
7ey5	SEQ_H1	1
8keo	SEQ_H1	1
5x8l	SEQ_H1	1
8ez7	SEQ_H1	1
7ly9	SEQ_H1	1
8ghk	SEQ_H1	1
8dz4	SEQ_H1	1
7x8y	SEQ_H1	1
8r8k	SEQ_H1	1
7jx3	SEQ_H1	1
6vn1	SEQ_H1	1
7uar	SEQ_H1	1
8gy5	SEQ_H1	1
7x91	SEQ_H1	1
7eya	SEQ_H1	1
6phc	SEQ_H1	1
7prz	SEQ_H1	1
7e9b	SEQ_H1	1
6xq2	SEQ_H1	1
7lsf	SEQ_H1	1
7lxw	SEQ_H1	1
7ps2	SEQ_H1	1
6wir	SEQ_H1	1
7ykj	SEQ_H1	1
7uvi	SEQ_H1	1
8j1q	SEQ_H1	1
8dyy	SEQ_H1	1
7ukl	SEQ_H1	1
8xsj	SEQ_H1	1
9c44	SEQ_H1	1
8q5y	SEQ_H1	1
6v4o	SEQ_H1	1
9bdg	SEQ_H1	1
6e56	SEQ_H1	1
