pdb	CDR	Cluster_Label
5eii	SEQ_H2	1
5eii	SEQ_H2	1
3pgf	SEQ_H2	1
7niv	SEQ_H2	1
7tpj	SEQ_H2	1
7niw	SEQ_H2	1
7tpg	SEQ_H2	1
5bk2	SEQ_H2	1
5bk2	SEQ_H2	1
7mtb	SEQ_H2	1
7mtb	SEQ_H2	1
7mtb	SEQ_H2	1
7mtb	SEQ_H2	1
7mtb	SEQ_H2	1
7mtb	SEQ_H2	1
5uoe	SEQ_H2	1
5uoe	SEQ_H2	1
5uoe	SEQ_H2	1
5uoe	SEQ_H2	1
5uoe	SEQ_H2	1
8jnr	SEQ_H2	1
8jnr	SEQ_H2	1
8jnr	SEQ_H2	1
8jnr	SEQ_H2	1
8jnk	SEQ_H2	1
8jnk	SEQ_H2	1
8jnk	SEQ_H2	1
8tv1	SEQ_H2	1
8jnk	SEQ_H2	1
7pry	SEQ_H2	1
7pry	SEQ_H2	1
6o3b	SEQ_H2	1
6o3b	SEQ_H2	1
6e1k	SEQ_H2	1
6e1k	SEQ_H2	1
6r2s	SEQ_H2	1
7ps6	SEQ_H2	1
3b2v	SEQ_H2	1
7d03	SEQ_H2	1
3hi1	SEQ_H2	1
3hi1	SEQ_H2	1
7akj	SEQ_H2	1
7akj	SEQ_H2	1
7akj	SEQ_H2	1
7m3i	SEQ_H2	1
7m3i	SEQ_H2	1
6ieb	SEQ_H2	1
6ieb	SEQ_H2	1
7czw	SEQ_H2	1
7czw	SEQ_H2	1
7ps7	SEQ_H2	1
7ps7	SEQ_H2	1
6pze	SEQ_H2	1
5utz	SEQ_H2	1
5utz	SEQ_H2	1
5utz	SEQ_H2	1
5utz	SEQ_H2	1
5ush	SEQ_H2	1
5ush	SEQ_H2	1
7q0h	SEQ_H2	1
7n5h	SEQ_H2	1
7n5h	SEQ_H2	1
7n5h	SEQ_H2	1
6tou	SEQ_H2	1
7rbv	SEQ_H2	1
6b3s	SEQ_H2	1
6b3s	SEQ_H2	1
6b3s	SEQ_H2	1
6b3s	SEQ_H2	1
4yk4	SEQ_H2	1
4yk4	SEQ_H2	1
7czp	SEQ_H2	1
7czp	SEQ_H2	1
7rbu	SEQ_H2	1
3b2u	SEQ_H2	1
3b2u	SEQ_H2	1
3b2u	SEQ_H2	1
3b2u	SEQ_H2	1
3b2u	SEQ_H2	1
3b2u	SEQ_H2	1
3b2u	SEQ_H2	1
3b2u	SEQ_H2	1
5xwd	SEQ_H2	1
5bv7	SEQ_H2	1
7kn4	SEQ_H2	1
7kn4	SEQ_H2	1
5xku	SEQ_H2	1
7l7r	SEQ_H2	1
7akd	SEQ_H2	1
7akd	SEQ_H2	1
7sts	SEQ_H2	1
7sts	SEQ_H2	1
7str	SEQ_H2	1
7t17	SEQ_H2	1
7t17	SEQ_H2	1
8eay	SEQ_H2	1
8szy	SEQ_H2	1
8szy	SEQ_H2	1
8hrd	SEQ_H2	1
8hrd	SEQ_H2	1
8hrd	SEQ_H2	1
8hrd	SEQ_H2	1
