PDB_ID	CDR	Length	Cluster_Label
8si1	SEQ_L2	7	1
2dd8	SEQ_L2	7	1
5j13	SEQ_L2	7	1
7m3i	SEQ_L2	7	1
7qny	SEQ_L2	7	1
7vyr	SEQ_L2	7	1
6fy1	SEQ_L2	7	1
7q9j	SEQ_L2	7	1
7lxw	SEQ_L2	7	1
6vy5	SEQ_L2	7	1
6rcv	SEQ_L2	7	1
4m5z	SEQ_L2	7	1
7wjy	SEQ_L2	7	1
7s5p	SEQ_L2	7	1
7ytn	SEQ_L2	7	1
8sit	SEQ_L2	7	1
9azr	SEQ_L2	7	1
8vvk	SEQ_L2	7	1
4qhu	SEQ_L2	7	1
7rxi	SEQ_L2	7	1
6oan	SEQ_L2	7	1
3g6d	SEQ_L2	7	1
1adq	SEQ_L2	7	1
8blq	SEQ_L2	7	1
6vy4	SEQ_L2	7	1
7xmz	SEQ_L2	7	1
7s0x	SEQ_L2	7	1
8s6m	SEQ_L2	7	1
9au2	SEQ_L2	7	1
6e63	SEQ_L2	7	1
4yfl	SEQ_L2	7	1
7mzh	SEQ_L2	7	1
4y5x	SEQ_L2	7	1
7t9n	SEQ_L2	7	1
7bel	SEQ_L2	7	1
6wtv	SEQ_L2	7	1
6wtu	SEQ_L2	7	1
7ly9	SEQ_L2	7	1
6b08	SEQ_L2	7	1
7phu	SEQ_L2	7	1
6h2y	SEQ_L2	7	1
7ey0	SEQ_L2	7	1
5ugy	SEQ_L2	7	1
6wn1	SEQ_L2	7	1
5xwd	SEQ_L2	7	1
7f3q	SEQ_L2	7	1
7z3a	SEQ_L2	7	1
7zlk	SEQ_L2	7	1
8f0h	SEQ_L2	7	1
8tft	SEQ_L2	7	1
8rh0	SEQ_L2	7	1
8sdh	SEQ_L2	7	1
7q0i	SEQ_L2	7	1
4qci	SEQ_L2	7	1
8u5l	SEQ_L2	7	1
3nh7	SEQ_L2	7	1
7uar	SEQ_L2	7	1
9azt	SEQ_L2	7	1
8v13	SEQ_L2	7	1
6iut	SEQ_L2	7	1
7kde	SEQ_L2	7	1
7uxl	SEQ_L2	7	1
7t17	SEQ_L2	7	1
7rew	SEQ_L2	7	1
7bpk	SEQ_L2	7	1
5w08	SEQ_L2	7	1
7ps0	SEQ_L2	7	1
8cxi	SEQ_L2	7	1
7ul0	SEQ_L2	7	1
8vkx	SEQ_L2	7	1
7k8x	SEQ_L2	7	1
4ut6	SEQ_L2	7	1
7ps6	SEQ_L2	7	1
5nh3	SEQ_L2	7	1
6xkq	SEQ_L2	7	1
6dfh	SEQ_L2	7	1
7ps7	SEQ_L2	7	1
5usl	SEQ_L2	7	1
7ly3	SEQ_L2	7	1
7sfw	SEQ_L2	7	1
7cyv	SEQ_L2	7	1
8jqn	SEQ_L2	7	1
8cw9	SEQ_L2	7	1
8ykt	SEQ_L2	7	1
7wr9	SEQ_L2	7	1
8vqf	SEQ_L2	7	1
8wfh	SEQ_L2	7	1
8awm	SEQ_L2	7	1
4dag	SEQ_L2	7	1
5w4l	SEQ_L2	7	1
6wno	SEQ_L2	7	1
7mmo	SEQ_L2	7	1
7fcp	SEQ_L2	7	1
7e7y	SEQ_L2	7	1
7jmp	SEQ_L2	7	1
6wty	SEQ_L2	7	1
8qq0	SEQ_L2	7	1
8cin	SEQ_L2	7	1
8qpr	SEQ_L2	7	1
5t3z	SEQ_L2	7	1
8sb4	SEQ_L2	7	1
8sb2	SEQ_L2	7	1
