seq_rep	seq_member	antigen_member	pdb_member
seq_1	seq_1	vp1	8vkx
seq_2	seq_2	eryai,6-deoxyerythronolide-b_synthase_erya3,_modules_5_and6_	8tjn
seq_2	seq_4	spike_glycoprotein	8jmm
seq_2	seq_15	phosphate-binding_protein_psts_1	7dm1
seq_3	seq_3	hemagglutinin	8ghk
seq_5	seq_5	gn	8wsp
seq_5	seq_7	spike_glycoprotein	8r8k
seq_5	seq_12	spike_glycoprotein	7x8y
seq_5	seq_18	spike_glycoprotein	7jx3
seq_8	seq_8	spike_glycoprotein	8khc
seq_9	seq_9	transforming_growth_factor_beta-3	8v52
seq_10	seq_10	spike_protein_s1	8sdg
seq_11	seq_6	spike_protein_s1	8suo
seq_11	seq_11	spike_protein_s2'	8ekd
seq_13	seq_13	envelope_glycoprotein_h	7s07
seq_14	seq_14	circumsporozoite_protein	6o2b
seq_17	seq_17	spike_protein_s1	7mzj
seq_19	seq_19	spike_glycoprotein	7ey5
seq_20	seq_20	tumor_necrosis_factor	4g3y
seq_21	seq_16	spike_glycoprotein	7ls9
seq_21	seq_21	spike_glycoprotein	7kzb
seq_22	seq_22	vitamin_k-dependent_protein_c_heavy_chain	6m3c
seq_23	seq_23	interleukin-6	4cni
seq_24	seq_24	processed_angiotensin-converting_enzyme_2	7e7e
seq_25	seq_25	leukemia_inhibitory_factor	7n0a
