PDB_ID	CDR	Length	Cluster_Label
7t01	SEQ_H2	5	1
7lss	SEQ_H2	5	1
7mmo	SEQ_H2	5	1
7d0d	SEQ_H2	5	1
8erq	SEQ_H2	5	1
7xsa	SEQ_H2	5	1
7yvk	SEQ_H2	5	1
7yve	SEQ_H2	5	1
8gdr	SEQ_H2	5	1
7ycy	SEQ_H2	5	1
8cw9	SEQ_H2	5	1
6urm	SEQ_H2	5	1
7cm4	SEQ_H2	5	1
8rgz	SEQ_H2	5	1
8vye	SEQ_H2	5	1
8hp9	SEQ_H2	5	1
7wee	SEQ_H2	5	1
6xy2	SEQ_H2	5	1
9l6c	SEQ_H2	5	2
8kdr	SEQ_H2	5	2
7uvq	SEQ_H2	5	2
5ug0	SEQ_H2	5	2
8bbo	SEQ_H2	5	2
8x0y	SEQ_H2	5	2
8pq2	SEQ_H2	5	2
8ezk	SEQ_H2	5	2
7s1b	SEQ_H2	5	2
7yr1	SEQ_H2	5	2
7ttx	SEQ_H2	5	2
8tqk	SEQ_H2	5	2
7mzl	SEQ_H2	5	2
7r8n	SEQ_H2	5	2
7kfx	SEQ_H2	5	2
7e5y	SEQ_H2	5	2
7mzf	SEQ_H2	5	2
7kfy	SEQ_H2	5	2
4dag	SEQ_H2	5	2
7kfw	SEQ_H2	5	2
7m6d	SEQ_H2	5	2
8e1g	SEQ_H2	5	2
7nd5	SEQ_H2	5	2
8v5s	SEQ_H2	5	2
8tp6	SEQ_H2	5	2
8dwx	SEQ_H2	5	2
7jmp	SEQ_H2	5	2
7pry	SEQ_H2	5	2
3hi1	SEQ_H2	5	2
7m3i	SEQ_H2	5	2
7czw	SEQ_H2	5	2
7ps7	SEQ_H2	5	2
6pze	SEQ_H2	5	2
7q0h	SEQ_H2	5	2
7n5h	SEQ_H2	5	2
4yk4	SEQ_H2	5	2
7czp	SEQ_H2	5	2
7rbu	SEQ_H2	5	2
3b2u	SEQ_H2	5	2
5xwd	SEQ_H2	5	2
7kn4	SEQ_H2	5	2
7akd	SEQ_H2	5	2
7sts	SEQ_H2	5	2
7str	SEQ_H2	5	2
8eay	SEQ_H2	5	2
8cbd	SEQ_H2	5	2
8zho	SEQ_H2	5	2
8vef	SEQ_H2	5	2
8y4c	SEQ_H2	5	2
7yds	SEQ_H2	5	2
8yx1	SEQ_H2	5	2
6iw2	SEQ_H2	5	2
7shz	SEQ_H2	5	2
6pdx	SEQ_H2	5	2
6oc3	SEQ_H2	5	2
7kn3	SEQ_H2	5	2
7si0	SEQ_H2	5	2
7shy	SEQ_H2	5	2
8veb	SEQ_H2	5	2
8u1s	SEQ_H2	5	2
7cgw	SEQ_H2	5	2
8v5q	SEQ_H2	5	2
7uc8	SEQ_H2	5	2
7wrj	SEQ_H2	5	2
6xq4	SEQ_H2	5	2
8w0x	SEQ_H2	5	2
6uig	SEQ_H2	5	2
8ved	SEQ_H2	5	2
6oe4	SEQ_H2	5	2
7n3d	SEQ_H2	5	2
7msq	SEQ_H2	5	2
8toa	SEQ_H2	5	2
5sx4	SEQ_H2	5	2
8tma	SEQ_H2	5	2
8e6j	SEQ_H2	5	2
7tri	SEQ_H2	5	2
7bel	SEQ_H2	5	2
8u1q	SEQ_H2	5	2
7qnw	SEQ_H2	5	2
8e6k	SEQ_H2	5	2
6v4n	SEQ_H2	5	2
5w1k	SEQ_H2	5	2
8tp9	SEQ_H2	5	2
5kjr	SEQ_H2	5	2
7bq5	SEQ_H2	5	2
8cin	SEQ_H2	5	2
8eoo	SEQ_H2	5	2
7q9j	SEQ_H2	5	2
7ps0	SEQ_H2	5	2
7y0v	SEQ_H2	5	2
8jio	SEQ_H2	5	2
8tp7	SEQ_H2	5	2
9bdf	SEQ_H2	5	3
7wph	SEQ_H2	5	3
7e23	SEQ_H2	5	3
7e5o	SEQ_H2	5	3
7m7b	SEQ_H2	5	3
7po5	SEQ_H2	5	3
7pnq	SEQ_H2	5	3
8gnh	SEQ_H2	5	3
7ycn	SEQ_H2	5	3
8vuj	SEQ_H2	5	3
4xnm	SEQ_H2	5	3
8w0y	SEQ_H2	5	3
7xdl	SEQ_H2	5	3
6pzy	SEQ_H2	5	3
6ii9	SEQ_H2	5	3
6dfh	SEQ_H2	5	3
5gzo	SEQ_H2	5	3
6e4x	SEQ_H2	5	3
4m5z	SEQ_H2	5	3
8dcc	SEQ_H2	5	3
8tp2	SEQ_H2	5	3
8tnl	SEQ_H2	5	3
8pwu	SEQ_H2	5	3
8pww	SEQ_H2	5	3
7z0x	SEQ_H2	5	3
7e3o	SEQ_H2	5	3
6iut	SEQ_H2	5	3
6wqo	SEQ_H2	5	3
8ez8	SEQ_H2	5	3
6xpy	SEQ_H2	5	3
6phb	SEQ_H2	5	3
8siq	SEQ_H2	5	3
8r1c	SEQ_H2	5	3
7czx	SEQ_H2	5	3
6xe1	SEQ_H2	5	3
7czq	SEQ_H2	5	3
7qf0	SEQ_H2	5	3
7nd3	SEQ_H2	5	3
7b3o	SEQ_H2	5	3
7d0c	SEQ_H2	5	3
7ps1	SEQ_H2	5	3
7mzn	SEQ_H2	5	3
7kmh	SEQ_H2	5	3
7ey0	SEQ_H2	5	3
7chs	SEQ_H2	5	3
7bz5	SEQ_H2	5	3
7k8m	SEQ_H2	5	3
7cjf	SEQ_H2	5	3
7np1	SEQ_H2	5	3
7e88	SEQ_H2	5	3
7e7y	SEQ_H2	5	3
7chc	SEQ_H2	5	3
7s4s	SEQ_H2	5	3
7n3i	SEQ_H2	5	3
7e86	SEQ_H2	5	3
7neg	SEQ_H2	5	3
7cho	SEQ_H2	5	3
8dce	SEQ_H2	5	3
7pqy	SEQ_H2	5	3
7nx7	SEQ_H2	5	3
6xcn	SEQ_H2	5	3
7jmo	SEQ_H2	5	3
7wbz	SEQ_H2	5	3
7wos	SEQ_H2	5	3
7ul1	SEQ_H2	5	3
7s5p	SEQ_H2	5	3
7x08	SEQ_H2	5	3
8bcz	SEQ_H2	5	3
7wnb	SEQ_H2	5	3
7xs8	SEQ_H2	5	3
8bse	SEQ_H2	5	3
7xsc	SEQ_H2	5	3
7wt7	SEQ_H2	5	3
8gf2	SEQ_H2	5	3
8bec	SEQ_H2	5	3
8bg3	SEQ_H2	5	3
8bg2	SEQ_H2	5	3
8hws	SEQ_H2	5	3
8yz5	SEQ_H2	5	3
9l6c	SEQ_H2	5	3
8yww	SEQ_H2	5	3
7yvg	SEQ_H2	5	3
7r8l	SEQ_H2	5	3
7kfv	SEQ_H2	5	3
7ejz	SEQ_H2	5	3
7sc1	SEQ_H2	5	3
8hc2	SEQ_H2	5	3
7uow	SEQ_H2	5	3
8hn6	SEQ_H2	5	3
8bg4	SEQ_H2	5	3
8xsd	SEQ_H2	5	3
8xbf	SEQ_H2	5	3
7kmi	SEQ_H2	5	3
7vmu	SEQ_H2	5	3
7m6f	SEQ_H2	5	3
7czs	SEQ_H2	5	3
7bej	SEQ_H2	5	3
7t72	SEQ_H2	5	3
7wcp	SEQ_H2	5	3
8j1t	SEQ_H2	5	3
8xea	SEQ_H2	5	3
9fgt	SEQ_H2	5	3
9fgs	SEQ_H2	5	3
9fgr	SEQ_H2	5	3
8qh0	SEQ_H2	5	3
8c0y	SEQ_H2	5	3
8wpw	SEQ_H2	5	3
8k18	SEQ_H2	5	3
6xq0	SEQ_H2	5	3
6aru	SEQ_H2	5	3
8gye	SEQ_H2	5	3
7eh5	SEQ_H2	5	3
