PDB_ID	antigen_name	CF_H1	CF_H2	CF_L1	CF_L2	CF_L3
2dd8	spike_glycoprotein	H1-7-seq_549	H2-6-seq_525	L1-11-seq_199	L2-7-seq_641	L3-10-seq_178
2fjg	vascular_endothelial_growth_factor_a	H1-7-seq_584	H2-6-seq_426	L1-11-seq_302	L2-7-seq_132	L3-9-seq_425
2fjh	vascular_endothelial_growth_factor_a	H1-7-seq_540	H2-6-seq_420	L1-11-seq_315	L2-7-seq_416	L3-9-seq_335
2ghw	spike_glycoprotein	H1-7-seq_65	H2-6-seq_386	L1-11-seq_399	L2-7-seq_386	L3-9-seq_164
2qad	envelope_glycoprotein_gp160	H1-7-seq_450	H2-6-seq_416	L1-11-seq_312	L2-7-seq_601	L3-9-seq_332
2vxs	interleukin-17a	H1-7-seq_65	H2-6-seq_257	L1-13-seq_32	L2-7-seq_710	L3-9-seq_199
3b2u	epidermal_growth_factor_receptor	H1-9-seq_39		L1-11-seq_33	L2-7-seq_290	L3-9-seq_267
3hi1	glycoprotein_120	H1-7-seq_627		L1-12-seq_99	L2-7-seq_33	L3-9-seq_390
3p0y	epidermal_growth_factor_receptor	H1-7-seq_466	H2-6-seq_360	L1-11-seq_273	L2-7-seq_132	L3-9-seq_293
3u2s	envelope_glycoprotein_gp120	H1-7-seq_657	H2-6-seq_507	L1-14-seq_53	L2-7-seq_577	L3-10-seq_170
3whe	hemagglutinin	H1-7-seq_423	H2-6-seq_283	L1-14-seq_34	L2-7-seq_545	L3-11-seq_91
3wlw	receptor_tyrosine-protein_kinase_erbb-2	H1-7-seq_565	H2-6-seq_290	L1-14-seq_53	L2-7-seq_577	L3-10-seq_146
3wsq	receptor_tyrosine-protein_kinase_erbb-2	H1-7-seq_500	H2-6-seq_387	L1-13-seq_47	L2-7-seq_558	L3-11-seq_85
4al8	envelope_protein	H1-7-seq_65	H2-6-seq_531	L1-11-seq_405	L2-7-seq_766	L3-9-seq_422
4dag	fusion_glycoprotein_f0	H1-7-seq_439		L1-11-seq_386	L2-7-seq_487	L3-9-seq_185
