PDB_ID	CDR	Length	Cluster_Label
8erq	SEQ_H1	9	1
8t6m	SEQ_H1	9	1
8vye	SEQ_H1	9	1
7wrj	SEQ_H1	9	1
8tma	SEQ_H1	9	1
9bdf	SEQ_H1	9	1
7wee	SEQ_H1	9	1
3lev	SEQ_H1	9	1
7ycy	SEQ_H1	9	1
8gdr	SEQ_H1	9	1
4ps4	SEQ_H1	9	1
8rmx	SEQ_H1	9	1
7yvk	SEQ_H1	9	1
7lss	SEQ_H1	9	1
7cm4	SEQ_H1	9	1
7d0d	SEQ_H1	9	1
8hp9	SEQ_H1	9	1
7xsa	SEQ_H1	9	1
7yve	SEQ_H1	9	1
7t01	SEQ_H1	9	1
6vug	SEQ_H1	9	1
7mmo	SEQ_H1	9	1
4g6m	SEQ_H1	9	1
6urm	SEQ_H1	9	1
6ywc	SEQ_H1	9	1
8ywq	SEQ_H1	9	1
8rgz	SEQ_H1	9	1
8cw9	SEQ_H1	9	1
6ywd	SEQ_H1	9	1
3l5x	SEQ_H1	9	1
7ox1	SEQ_H1	9	1
8vww	SEQ_H1	9	1
7bq5	SEQ_H1	9	1
6oe4	SEQ_H1	9	1
6oan	SEQ_H1	9	1
7m30	SEQ_H1	9	1
8tp9	SEQ_H1	9	1
8bbo	SEQ_H1	9	1
8y4c	SEQ_H1	9	1
7ttx	SEQ_H1	9	1
7q0h	SEQ_H1	9	1
6uig	SEQ_H1	9	1
5ush	SEQ_H1	9	1
8v5q	SEQ_H1	9	1
8vcr	SEQ_H1	9	1
8cbd	SEQ_H1	9	1
6e4x	SEQ_H1	9	1
7kn4	SEQ_H1	9	1
7n5h	SEQ_H1	9	1
7y0v	SEQ_H1	9	1
8e6j	SEQ_H1	9	1
7qnw	SEQ_H1	9	1
8vvk	SEQ_H1	9	1
8u1q	SEQ_H1	9	1
8dwx	SEQ_H1	9	1
7ps0	SEQ_H1	9	1
9mer	SEQ_H1	9	1
5sx4	SEQ_H1	9	1
7czw	SEQ_H1	9	1
8e6k	SEQ_H1	9	1
8u1s	SEQ_H1	9	1
8r1c	SEQ_H1	9	1
7pry	SEQ_H1	9	1
7oly	SEQ_H1	9	1
5d1z	SEQ_H1	9	1
7ps7	SEQ_H1	9	1
6pze	SEQ_H1	9	1
5uqy	SEQ_H1	9	1
5xwd	SEQ_H1	9	1
7rbu	SEQ_H1	9	1
9bif	SEQ_H1	9	1
6r2s	SEQ_H1	9	1
7kql	SEQ_H1	9	1
6i04	SEQ_H1	9	1
5o1r	SEQ_H1	9	1
6tou	SEQ_H1	9	1
7bel	SEQ_H1	9	1
5k59	SEQ_H1	9	1
7l7r	SEQ_H1	9	1
8veb	SEQ_H1	9	1
8zho	SEQ_H1	9	1
2vxq	SEQ_H1	9	1
5utz	SEQ_H1	9	1
5w1k	SEQ_H1	9	1
5xku	SEQ_H1	9	1
8vef	SEQ_H1	9	1
8jqm	SEQ_H1	9	1
7uxl	SEQ_H1	9	1
7unb	SEQ_H1	9	1
8zgu	SEQ_H1	9	1
7t17	SEQ_H1	9	1
6nn3	SEQ_H1	9	1
4rfo	SEQ_H1	9	1
5bv7	SEQ_H1	9	1
2j6e	SEQ_H1	9	1
8tp6	SEQ_H1	9	1
8eoo	SEQ_H1	9	1
8v9d	SEQ_H1	9	1
3b2u	SEQ_H1	9	1
8yx1	SEQ_H1	9	1
8tp7	SEQ_H1	9	1
