seq0	seq260	hemagglutinin
seq0	seq408	spike glycoprotein
seq0	seq459	spike glycoprotein
seq0	seq464	spike glycoprotein
seq0	seq465	spike glycoprotein
seq0	seq471	spike glycoprotein
seq0	seq472	spike glycoprotein
seq0	seq501	spike glycoprotein
seq0	seq639	spike glycoprotein
seq0	seq641	spike glycoprotein
seq0	seq644	spike glycoprotein
seq0	seq646	spike glycoprotein
seq0	seq648	spike glycoprotein
seq0	seq650	spike glycoprotein
seq0	seq705	spike glycoprotein
seq0	seq784	spike protein s1
seq0	seq785	spike protein s1
seq0	seq902	spike protein s1
seq0	seq1192	spike glycoprotein
seq0	seq1933	spike glycoprotein
seq0	seq1934	spike glycoprotein
seq0	seq1935	spike glycoprotein
seq0	seq1936	spike glycoprotein
seq0	seq1937	spike glycoprotein
seq0	seq1938	spike glycoprotein
seq0	seq1939	spike glycoprotein
seq0	seq2071	spike glycoprotein
seq0	seq2532	spike glycoprotein
seq0	seq2533	spike glycoprotein
seq0	seq2534	spike glycoprotein
seq0	seq2656	spike glycoprotein
seq0	seq2657	spike glycoprotein
seq0	seq2658	spike glycoprotein
seq0	seq2870	spike glycoprotein
seq0	seq2872	spike glycoprotein
seq0	seq3002	spike glycoprotein
seq0	seq3003	spike glycoprotein
seq0	seq3004	spike glycoprotein
seq0	seq3269	spike glycoprotein
seq0	seq3270	spike glycoprotein
seq0	seq3271	spike glycoprotein
seq0	seq3999	surface glycoprotein
seq0	seq4002	surface glycoprotein
seq0	seq4741	spike protein s1
seq0	seq4742	spike protein s1
seq0	seq4943	spike protein s1
seq0	seq5289	spike glycoprotein
seq0	seq5386	spike protein s1
seq192	seq191	hemagglutinin
seq192	seq192	hemagglutinin
seq192	seq193	hemagglutinin
seq192	seq1198	spike protein s1
seq192	seq1200	spike protein s1
seq192	seq1248	spike protein s1
seq192	seq1553	spike glycoprotein
seq192	seq1554	spike glycoprotein
seq192	seq1559	spike protein s1
seq192	seq1560	spike protein s1
seq192	seq1899	spike glycoprotein
seq192	seq2017	spike protein s1
seq192	seq2019	spike protein s1
seq192	seq2710	spike protein s1
seq192	seq2713	spike protein s1
seq192	seq2715	spike glycoprotein
seq192	seq2716	spike glycoprotein
seq192	seq2717	spike glycoprotein
seq192	seq2808	surface glycoprotein
seq192	seq3039	spike glycoprotein
seq192	seq3075	spike glycoprotein
seq192	seq3076	spike glycoprotein
seq192	seq3130	spike glycoprotein
seq192	seq3131	spike glycoprotein
seq192	seq3163	spike protein s1
seq192	seq3267	spike glycoprotein
seq192	seq3268	spike glycoprotein
seq192	seq3310	spike protein s1
seq192	seq3505	spike protein s1
seq192	seq3775	spike glycoprotein
seq192	seq3776	spike glycoprotein
seq192	seq3831	spike protein s1
seq192	seq4070	spike glycoprotein
seq192	seq4223	spike glycoprotein
seq192	seq4224	spike glycoprotein
seq192	seq4225	spike glycoprotein
seq192	seq4251	spike glycoprotein
seq192	seq4252	spike glycoprotein
seq192	seq4253	spike glycoprotein
seq192	seq4383	spike glycoprotein
seq192	seq4463	hemagglutinin
seq192	seq4464	hemagglutinin
seq192	seq4544	surface glycoprotein
seq192	seq4665	spike glycoprotein
seq192	seq4739	spike protein s1
seq192	seq4740	spike protein s1
seq192	seq4872	spike protein s1
seq192	seq5221	spike glycoprotein
seq192	seq5309	spike protein s1
seq192	seq5310	spike protein s1
