pdb,cluster
4jb9,SEQ_L1_10_1
4rx4,SEQ_L1_10_1
4rwy,SEQ_L1_10_1
7sjn,SEQ_L1_10_2
6ywd,SEQ_L1_10_2
7e7e,SEQ_L1_10_2
3nfp,SEQ_L1_10_3
8vgn,SEQ_L1_10_3
2fed,SEQ_L1_10_3
4zso,SEQ_L1_10_3
7uvq,SEQ_L1_10_3
6t3j,SEQ_L1_10_3
9jbq,SEQ_L1_10_3
7quh,SEQ_L1_10_3
7u9e,SEQ_L1_11_1
7byr,SEQ_L1_11_1
6r2s,SEQ_L1_11_1
6yio,SEQ_L1_11_1
7ahv,SEQ_L1_11_1
7mzf,SEQ_L1_11_1
6uta,SEQ_L1_11_1
4u6v,SEQ_L1_11_1
4ogx,SEQ_L1_11_1
7fjc,SEQ_L1_11_1
7v3l,SEQ_L1_11_1
7uxl,SEQ_L1_11_1
6wjl,SEQ_L1_11_1
7xdl,SEQ_L1_11_1
7xj6,SEQ_L1_11_1
8ol9,SEQ_L1_11_1
8fsj,SEQ_L1_11_1
8u1q,SEQ_L1_11_1
8tma,SEQ_L1_11_1
3skj,SEQ_L1_11_1
7wi0,SEQ_L1_11_1
8u1s,SEQ_L1_11_1
8sdg,SEQ_L1_11_1
8xbf,SEQ_L1_11_1
8dyy,SEQ_L1_11_1
7mxl,SEQ_L1_11_1
5vic,SEQ_L1_11_1
8jiz,SEQ_L1_11_1
7l7r,SEQ_L1_11_1
7unb,SEQ_L1_11_1
7u9w,SEQ_L1_11_1
7qnw,SEQ_L1_11_1
5l0q,SEQ_L1_11_1
6aru,SEQ_L1_11_1
6uqr,SEQ_L1_11_1
7ubr,SEQ_L1_11_1
7te1,SEQ_L1_11_1
7eh5,SEQ_L1_11_1
6rps,SEQ_L1_11_1
6w16,SEQ_L1_11_1
5vqm,SEQ_L1_11_1
4g3y,SEQ_L1_11_1
6n8d,SEQ_L1_11_1
7lf8,SEQ_L1_11_1
3eob,SEQ_L1_11_1
3l5x,SEQ_L1_11_1
4ps4,SEQ_L1_11_1
7kfx,SEQ_L1_11_1
7vmu,SEQ_L1_11_1
7b3o,SEQ_L1_11_1
7chs,SEQ_L1_11_1
7bz5,SEQ_L1_11_1
7kfy,SEQ_L1_11_1
7rw2,SEQ_L1_11_1
7msq,SEQ_L1_11_1
7q0h,SEQ_L1_11_1
7che,SEQ_L1_11_1
3bn9,SEQ_L1_11_1
7czs,SEQ_L1_11_1
7cdj,SEQ_L1_11_1
7neg,SEQ_L1_11_1
7kfw,SEQ_L1_11_1
4r4n,SEQ_L1_11_1
7nd5,SEQ_L1_11_1
7kfv,SEQ_L1_11_1
7sc1,SEQ_L1_11_1
7bej,SEQ_L1_11_1
7wbz,SEQ_L1_11_1
7wn2,SEQ_L1_11_1
8j1t,SEQ_L1_11_1
8bg4,SEQ_L1_11_1
8uzc,SEQ_L1_11_1
8tvd,SEQ_L1_11_1
3sqo,SEQ_L1_11_1
4k8r,SEQ_L1_11_1
9b8j,SEQ_L1_11_1
8yx1,SEQ_L1_11_1
8tvj,SEQ_L1_11_1
8x0y,SEQ_L1_11_1
8uwz,SEQ_L1_11_1
7ui1,SEQ_L1_11_1
4hfu,SEQ_L1_11_1
7wcp,SEQ_L1_11_1
6wqo,SEQ_L1_11_1
6nmu,SEQ_L1_11_1
3lev,SEQ_L1_11_1
7mzl,SEQ_L1_11_1
7e72,SEQ_L1_11_1
4cni,SEQ_L1_11_1
4ydi,SEQ_L1_11_1
7wnb,SEQ_L1_11_1
8hws,SEQ_L1_11_1
7f7h,SEQ_L1_11_1
4zs6,SEQ_L1_11_1
6q1z,SEQ_L1_11_1
8cxg,SEQ_L1_11_1
7qf0,SEQ_L1_11_1
8kfa,SEQ_L1_11_1
6e4x,SEQ_L1_11_1
8cbd,SEQ_L1_11_1
7dk2,SEQ_L1_11_1
5k9q,SEQ_L1_11_1
8e7m,SEQ_L1_11_1
9b8j,SEQ_L1_11_1
