pdb	CDR	Cluster_Label
6b0s	SEQ_L1	1
6kyz	SEQ_L1	1
7v23	SEQ_L1	1
8dlr	SEQ_L1	1
8f2j	SEQ_L1	1
7ukl	SEQ_L1	1
6phf	SEQ_L1	1
8r1d	SEQ_L1	1
4qhu	SEQ_L1	1
4xnm	SEQ_L1	1
6nn3	SEQ_L1	1
8hld	SEQ_L1	1
7rxl	SEQ_L1	1
4xx1	SEQ_L1	1
8vqf	SEQ_L1	1
7rxj	SEQ_L1	1
8vye	SEQ_L1	1
8sja	SEQ_L1	1
7shz	SEQ_L1	1
8u1p	SEQ_L1	1
4dag	SEQ_L1	1
8tgv	SEQ_L1	1
7rew	SEQ_L1	1
8vk1	SEQ_L1	1
3nh7	SEQ_L1	1
7jv4	SEQ_L1	1
6wh9	SEQ_L1	1
7laa	SEQ_L1	1
5occ	SEQ_L1	1
5ush	SEQ_L1	1
7dx4	SEQ_L1	1
5anm	SEQ_L1	1
7m6h	SEQ_L1	1
7cho	SEQ_L1	1
7wp0	SEQ_L1	1
7tjq	SEQ_L1	1
8csj	SEQ_L1	1
7yh6	SEQ_L1	1
8f6x	SEQ_L1	1
8zho	SEQ_L1	1
8siq	SEQ_L1	1
8ahn	SEQ_L1	1
7m6f	SEQ_L1	1
3whe	SEQ_L1	1
6m3b	SEQ_L1	1
6wty	SEQ_L1	1
6fy1	SEQ_L1	1
6mi2	SEQ_L1	1
5otj	SEQ_L1	1
8hrd	SEQ_L1	1
8dzw	SEQ_L1	1
8gdr	SEQ_L1	1
7wqv	SEQ_L1	1
4tsa	SEQ_L1	1
4ttd	SEQ_L1	1
4tsb	SEQ_L1	1
8say	SEQ_L1	1
7ps6	SEQ_L1	1
7k8x	SEQ_L1	1
7e7y	SEQ_L1	1
7z0x	SEQ_L1	1
7jmp	SEQ_L1	1
7ul0	SEQ_L1	1
8cin	SEQ_L1	1
8r1c	SEQ_L1	1
9aug	SEQ_L1	1
9auh	SEQ_L1	1
7tcc	SEQ_L1	1
7ox1	SEQ_L1	1
6vca	SEQ_L1	1
5te6	SEQ_L1	1
4qci	SEQ_L1	1
5t3z	SEQ_L1	1
4dqo	SEQ_L1	1
8bg3	SEQ_L1	1
7fcp	SEQ_L1	1
7l5b	SEQ_L1	1
8y3i	SEQ_L1	1
8hes	SEQ_L1	1
6wm9	SEQ_L1	1
6wno	SEQ_L1	1
7xsa	SEQ_L1	1
5w4l	SEQ_L1	1
7wos	SEQ_L1	1
7x08	SEQ_L1	1
7wee	SEQ_L1	1
4uu9	SEQ_L1	1
8tp7	SEQ_L1	1
8cz8	SEQ_L1	1
6ii9	SEQ_L1	1
3g6d	SEQ_L1	1
3u4e	SEQ_L1	1
7wi0	SEQ_L1	1
8z6r	SEQ_L1	1
7swp	SEQ_L1	1
7r8n	SEQ_L1	1
7l2d	SEQ_L1	1
7wph	SEQ_L1	1
7czw	SEQ_L1	1
6xey	SEQ_L1	1
3wlw	SEQ_L1	1
6txz	SEQ_L1	1
5grj	SEQ_L1	1
7l2c	SEQ_L1	1
7lcn	SEQ_L1	1
6ktr	SEQ_L1	1
6xkp	SEQ_L1	1
7czp	SEQ_L1	1
7l56	SEQ_L1	1
8dce	SEQ_L1	1
7nd7	SEQ_L1	1
6pzw	SEQ_L1	1
8dcc	SEQ_L1	1
7sue	SEQ_L1	1
7ugq	SEQ_L1	1
7x8w	SEQ_L1	1
8j1q	SEQ_L1	1
8e1p	SEQ_L1	1
7yvi	SEQ_L1	1
8gpy	SEQ_L1	1
8jg5	SEQ_L1	1
8qrf	SEQ_L1	1
8suo	SEQ_L1	1
8z4e	SEQ_L1	1
9clp	SEQ_L1	1
4y5v	SEQ_L1	1
6dc3	SEQ_L1	1
7mf1	SEQ_L1	1
4rfo	SEQ_L1	1
6xcn	SEQ_L1	1
7k8w	SEQ_L1	1
8z6u	SEQ_L1	1
6lxj	SEQ_L1	1
8wfh	SEQ_L1	1
4y5y	SEQ_L1	1
7lss	SEQ_L1	1
8s6m	SEQ_L1	1
9au2	SEQ_L1	1
7yvk	SEQ_L1	1
7mmo	SEQ_L1	1
7ycy	SEQ_L1	1
8erq	SEQ_L1	1
7e7x	SEQ_L1	1
8el2	SEQ_L1	1
5nh3	SEQ_L1	1
8sb3	SEQ_L1	1
8sb1	SEQ_L1	1
8saz	SEQ_L1	1
8sb0	SEQ_L1	1
6um7	SEQ_L1	1
7m42	SEQ_L1	1
5cbe	SEQ_L1	1
5cba	SEQ_L1	1
7dm1	SEQ_L1	1
8qq0	SEQ_L1	1
8sb2	SEQ_L1	1
6iut	SEQ_L1	1
4d9r	SEQ_L1	1
8vpf	SEQ_L1	1
8dg9	SEQ_L1	1
7uvo	SEQ_L1	1
8qpr	SEQ_L1	1
8sb4	SEQ_L1	1
8sas	SEQ_L1	1
8sau	SEQ_L1	1
8vgv	SEQ_L1	1
8sb5	SEQ_L1	1
6xkq	SEQ_L1	1
8gav	SEQ_L1	1
5w08	SEQ_L1	1
4yfl	SEQ_L1	1
8yro	SEQ_L1	1
7phu	SEQ_L1	1
8xi6	SEQ_L1	1
7s0x	SEQ_L1	1
1adq	SEQ_L1	1
2dd8	SEQ_L1	1
7rxi	SEQ_L1	1
6b08	SEQ_L1	1
7q9j	SEQ_L1	1
5xwd	SEQ_L1	1
7f3q	SEQ_L1	1
7wjy	SEQ_L1	1
7zlk	SEQ_L1	1
8rh0	SEQ_L1	1
8sdh	SEQ_L1	1
9azr	SEQ_L1	1
8v13	SEQ_L1	1
7qny	SEQ_L1	1
8f0h	SEQ_L1	1
6rcv	SEQ_L1	1
8blq	SEQ_L1	1
6wn1	SEQ_L1	1
9azt	SEQ_L1	1
6wtv	SEQ_L1	1
6wtu	SEQ_L1	1
8u5l	SEQ_L1	1
5ugy	SEQ_L1	1
8tft	SEQ_L1	1
6oan	SEQ_L1	1
8awm	SEQ_L1	1
7z3a	SEQ_L1	1
5j13	SEQ_L1	1
7q0i	SEQ_L1	1
7m3i	SEQ_L1	1
4m5z	SEQ_L1	1
6h2y	SEQ_L1	1
7seg	SEQ_L1	1
7ey0	SEQ_L1	1
7lxw	SEQ_L1	1
7ytn	SEQ_L1	1
7vyr	SEQ_L1	1
8vvk	SEQ_L1	1
6vy4	SEQ_L1	1
8sit	SEQ_L1	1
7s5p	SEQ_L1	1
7ly9	SEQ_L1	1
6urm	SEQ_L1	1
