seq_rep	seq_member	antigen_member	pdb_member
seq_1	seq_1	stem_mimetic_01	8uzp
seq_5	seq_5	envelope_glycoprotein_b	8vym
seq_5	seq_39	spike_protein_s1	7wrj
seq_5	seq_48	duffy_binding_surface_protein_region_ii	6oao
seq_5	seq_87	envelope_glycoprotein_b	7kdd
seq_5	seq_93	envelope_glycoprotein_b	4ot1
seq_10	seq_10	transforming_growth_factor_beta-1_proprotein	8udz
seq_13	seq_9	envelopment_polyprotein	8zgu
seq_13	seq_13	spike_glycoprotein	8yro
seq_18	seq_18	protein-glutamine_gamma-glutamyltransferase_e_27_kda_non-catalytic_chain_	8oxv
seq_20	seq_20	25_kda_ookinete_surface_antigen	8ezk
seq_21	seq_21	programmed_cell_death_1_ligand_1	7yds
seq_22	seq_3	spike_glycoprotein	9bj2
seq_22	seq_4	envelope_protein	8y3h
seq_22	seq_12	spike_glycoprotein	8jmm
seq_22	seq_15	glycoprotein_g	8k3c
seq_22	seq_16	capsid_protein	8i5l
seq_22	seq_17	neuraminidase	8ez8
seq_22	seq_19	envelope_protein_ul128	8tea
seq_22	seq_22	spike_glycoprotein	8gto
seq_22	seq_29	spike_glycoprotein	7x95
seq_22	seq_40	thyrotropin_receptor	7xw7
seq_22	seq_41	nucleoprotein	7sts
seq_22	seq_43	glycoprotein	7u9g
seq_22	seq_50	spike_protein_s1	7mzk
seq_22	seq_52	gastric_inhibitory_polypeptide_receptor	4hj0
seq_22	seq_53	suppressor_of_tumorigenicity_14_protein	3nps
seq_22	seq_54	spike_protein_s1	7kn4
seq_22	seq_56	induced_myeloid_leukemia_cell_differentiation_protein_mcl-1homolog,induced_myeloid_leukemia_cell_differentiation_protein_mcl-1_	5mes
seq_22	seq_57	hemagglutinin	4yjz
seq_22	seq_58	spike_glycoprotein	7m6e
seq_22	seq_63	isoform_2b_of_gtpase_kras	7mdp
seq_22	seq_64	spike_glycoprotein	7uar
seq_22	seq_67	growth/differentiation_factor_8	6umx
seq_22	seq_69	spike_glycoprotein	7tat
seq_22	seq_83	ig_gamma-1_chain_c_region	2j6e
seq_22	seq_90	interferon_alpha-1/13	3ux9
seq_22	seq_95	spike_protein_s1	7e3o
seq_22	seq_96	hemagglutinin	4fqj
seq_22	seq_97	receptor_tyrosine-protein_kinase_erbb-3	7d85
seq_22	seq_98	beta-mammal_toxin_cn2	4v1d
seq_26	seq_26	spike_protein_s1	8bsf
seq_26	seq_65	neuraminidase	6pzy
seq_27	seq_27	spike_protein_s1	7xsb
seq_28	seq_28	interleukin-17a	8dy1
seq_28	seq_46	interleukin-17a	2vxs
seq_31	seq_31	gametocyte_surface_protein_p230	7u9e
seq_33	seq_6	glutamate_receptor_ionotropic,_nmda_1	8vuj
seq_33	seq_7	spike_glycoprotein,fibritin,expression_tag	8zhe
seq_33	seq_8	spike_glycoprotein	8zho
seq_33	seq_24	spike_protein_s1	8eoo
seq_33	seq_25	spike_protein_s1	7vzt
seq_33	seq_30	spike_glycoprotein	7u0x
seq_33	seq_32	spike_protein_s1	7yck
seq_33	seq_33	spike_protein_s1	7ycn
seq_33	seq_44	spike_glycoprotein	7wo4
seq_33	seq_45	spike_protein_s1	7wog
seq_33	seq_55	sars-cov-2_spike_glycoprotein	7jva
seq_33	seq_59	hemagglutinin	6ii8
seq_33	seq_70	spike_glycoprotein	7jx3
seq_33	seq_73	spike_glycoprotein	7ttx
seq_33	seq_78	interleukin-2	5utz
seq_33	seq_94	hemagglutinin	6ii4
seq_37	seq_37	merozoite_surface_protein_1	8dfh
seq_42	seq_2	enterotoxin_type_b	8ykt
seq_42	seq_11	rh5-34em	8rz1
seq_42	seq_34	core_protein	7t17
seq_42	seq_35	spike_glycoprotein	7xmz
seq_42	seq_36	spike_glycoprotein	7sj0
seq_42	seq_42	thyrotropin_receptor	7t9n
seq_42	seq_47	spike_glycoprotein	7bel
seq_42	seq_51	spike_glycoprotein	7cws
seq_42	seq_60	mers-cov_rbd	5yy5
seq_42	seq_68	erythropoietin_receptor	4y5x
seq_42	seq_72	spike_glycoprotein	7cm4
seq_42	seq_75	envelope_glycoprotein_gp120	6u0n
seq_42	seq_79	neuraminidase	6pze
seq_42	seq_81	spike_glycoprotein	7v2a
seq_42	seq_89	beta-nerve_growth_factor	5jz7
seq_42	seq_92	envelope_protein	7bpk
seq_49	seq_49	receptor_tyrosine-protein_kinase_erbb-3	5cus
seq_61	seq_61	pf48/45	6e63
seq_62	seq_62	spike_protein_s1	7mzh
seq_66	seq_14	spike_glycoprotein	8zby
seq_66	seq_23	spike_glycoprotein	7yve
seq_66	seq_38	merozoite_surface_protein_1	8dfi
seq_66	seq_66	phosphate-binding_protein_psts_1	7dm2
seq_71	seq_71	receptor_tyrosine-protein_kinase_erbb-2	3wsq
seq_74	seq_74	spike_glycoprotein	7m7b
seq_76	seq_76	envelope_glycoprotein_gp120	7kde
seq_77	seq_77	interleukin_15	2xqb
seq_80	seq_80	envelope_glycoprotein_gp140	6b0n
seq_82	seq_82	envelope_glycoprotein_gp160,envelope_glycoprotein_gp160,envelope_glycoprotein_gp160_	4yfl
seq_84	seq_84	1fd6_16055_v1v2_scaffold	6was
seq_85	seq_85	hemagglutinin	6pdx
seq_86	seq_86	pfmsp1-19	6xqw
seq_88	seq_88	spike_protein_s1	7e5y
seq_91	seq_91	surface_glycoprotein	7ps4
